row_num,description,category,size,type
291,Configure pipelines for a project,Documentation,M,documentation
292,Configure a storage for project,Documentation,M,documentation
293,Configure a data source for a station,Documentation,M,documentation
294,Upload data to the storage (desktop app) (Currently happens outside Antenna using tools like Cyberduck),Infrastructure,XL,feature
295,See what captures has been processed and not (Missing data about this),UI/UX,M,feature
296,Setup a collection of captures,Documentation,S,documentation
297,"Run a ML job (Unstable, jobs stop, status not reflected correctly, crops not saved, not all captures processed)",Infrastructure,L,bug
298,Run an XL ML job (VISS project),Infrastructure,XL,feature
299,"See results that are accurate enough (Improve filtering, post-processing, pre-configurations)",ML/AI,XL,improvement
300,Post processing framework and UI,ML/AI,L,feature
301,Class masking,ML/AI,M,feature
302,Rank roll-ups,Taxonomy,L,feature
303,"See detections grouped as tracks (UI and data structures prepared, logic in progress)",Analytics/Viz,L,feature
304,Extend the list of taxa when needed (Users have to reach out when taxa are missing),Taxonomy,L,improvement
305,Show evalutation stats while validating,Analytics/Viz,M,feature
306,Configure overview stats for a project (Needs more information and user discussions),Analytics/Viz,L,feature
307,See charts for troubleshooting (not analysis) (Needs more information and user discussions),Analytics/Viz,M,feature
308,Export in DarwinCore format,Export/Interop,L,feature
309,Fix critical issues with processing service API (milestone #27),Infrastructure,L,bug
310,Implement Project Quick Start feature (MVP for auto-creating draft projects and processing data),Onboarding,L,feature
311,"Improve presented prediction results (Filtering, good defaults, post-processing)",ML/AI,L,improvement
312,Develop a Data Uploader Tool (starting with CLI version),Infrastructure,L,feature
313,"Implement fine-grained Job Permissions based on job types (e.g., ML, export, sync)",Permissions/Auth,M,feature
314,Create user interface for project managers to add new users and assign roles,Permissions/Auth,M,feature
315,Integrate Tracking and Feature Vectors to improve prediction results,ML/AI,XL,feature
316,"Integrate Out-of-Distribution (OOD) features for data curation (tagging, moving occurrences between clusters)",ML/AI,L,feature
317,Add new frontend views like "My projects" and show multiple suggestions per classification,UI/UX,M,feature
318,Integrate an Order-Level Classifier with the option to replace the current binary classifier,ML/AI,L,feature
319,Implement a Taxa List Filter and support Darwin Core Export Format,Export/Interop,M,feature
320,"New sprint schedule: 3 weeks development, 1 week for documentation and planning",DevEx,XS,improvement
321,Time for refactoring (switching to Next.js),Infrastructure,XL,improvement
322,Complete migration of UI components from raw Radix primitives to shadcn/ui,UI/UX,L,improvement
323,Complete migration from style modules to Tailwind CSS,UI/UX,M,improvement
324,Move UI kit back to Antenna repo (to reduce complexity),Infrastructure,S,improvement
325,Migrate to React 19,Infrastructure,M,improvement
326,Migrate to Next.js (to simplify routing and code splitting),Infrastructure,XL,improvement
327,Upgrade Node.js?,Infrastructure,S,improvement
328,Split up backend modules,Infrastructure,L,improvement
