1331	mihow	2026-06-04T23:13:52Z	perf(thumbnails): emit storage URL direct from serializer when cache is warm	Option for thumbnails: store and serve full URLs instead of hitting server
1322	mihow	2026-05-27T18:45:33Z	perf(ml): bulk-query Collect-stage filter to unstall large-collection jobs	Improve the filter stage during job preparation, fix for large capture sets
1317	mihow	2026-05-26T20:36:51Z	feat(taxa): per-taxon verification & agreement counts + verified filter (#1316)	Add verification status to Taxa views
1314	mihow	2026-05-20T21:44:53Z	docs: dev-box live testing pattern + reprocess flag interaction	docs: dev-box live testing pattern + reprocess flag interaction [abandoned]
1312	mihow	2026-05-27T13:20:57Z	fix(ml): create null detection markers only after real saves succeed	Don't mark images as processed too soon
1311	mihow	2026-05-20T00:22:11Z	fix(newrelic): restore per-env app_name in ini — NEW_RELIC_APP_NAME env var doesn't override	fix(newrelic): make app_name env-var-driven (drop from ini)
1311	mihow	2026-05-20T01:27:53Z	fix(newrelic): make app_name env-var-driven (drop from ini)	fix(monitoring): allow distinguishing data from different deployments in New Relic
1308	mihow	2026-05-27T13:20:13Z	feat(ui): live stats panel in occurrence list sidebar	Show stats panel in occurrence list sidebar
1307	mihow	2026-05-14T20:01:57Z	feat(occurrence-stats): add /occurrences/stats/human-model-agreement/ endpoint	Endpoint for stats about verified occurrences
1307	mihow	2026-05-15T06:44:15Z	Endpoint for stats about verified occurrences	feat(occurrence-stats): /occurrences/stats/model-agreement/ endpoint
1307	mihow	2026-05-15T06:50:44Z	feat(occurrence-stats): /occurrences/stats/model-agreement/ endpoint	Endpoint for stats about verified occurrences
1301	mihow	2026-05-13T22:38:32Z	Denormalize SourceImageCollection counts as cached columns	Speed up the capture set list view
1301	mihow	2026-05-27T13:19:40Z	Speed up the capture set list view	Speed up the capture set list view - introduce the CachedCount field
1301	mihow	2026-05-28T18:41:42Z	Speed up the capture set list view - introduce the CachedCount field	Speed up the capture set list view
1300	mihow	2026-05-12T18:24:24Z	perf(api): rewrite collection counts as subqueries; trim capture list SELECT	Speed up the captures list view
